Airline,Date,Source_Airport,Destination_Airport,Route,Departure_Time,Arrival_Time,Duration,Stops_Number,Price
Lufthansa,2022-02-10,TLV,VIE,FRA,5:20,14:15,9h 55m,1 stop,952
Turkish Airlines,2022-02-10,TLV,SZG,"IST, FRA",1:00,10:00,10h 00m,2 stops,"5,348"
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,8:20,14:00,6h 40m,1 stop,282
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,282
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,282
Air France,2022-02-11,TLV,VIE,CDG,15:55,22:55,8h 00m,1 stop,532
Turkish Airlines,2022-02-11,TLV,VIE,IST,10:20,18:45,9h 25m,1 stop,567
AnadoluJet,2022-02-11,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,621
SWISS,2022-02-11,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,962
SWISS,2022-02-11,TLV,VIE,ZRH,7:35,16:25,9h 50m,1 stop,962
Lufthansa,2022-02-11,TLV,VIE,MUC,17:05,22:35,6h 30m,1 stop,"1,002"
Lufthansa,2022-02-11,TLV,VIE,FRA,16:25,22:40,7h 15m,1 stop,"1,023"
Lufthansa,2022-02-11,TLV,VIE,FRA,5:20,13:10,8h 50m,1 stop,"1,023"
Lufthansa,2022-02-11,TLV,VIE,FRA,5:20,14:15,9h 55m,1 stop,"1,023"
LOT,2022-02-11,TLV,VIE,WAW,5:20,11:40,7h 20m,1 stop,"1,054"
Lufthansa,2022-02-11,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,573"
Lufthansa,2022-02-11,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,573"
Lufthansa,2022-02-11,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,573"
Lufthansa,2022-02-11,TLV,SZG,"MUC, FRA",7:00,13:55,7h 55m,2 stops,"1,632"
Lufthansa,2022-02-11,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,"2,159"
LOT,2022-02-11,TLV,INN,"WAW, VIE",5:20,13:55,9h 35m,2 stops,"6,325"
AnadoluJet,2022-02-11,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,621
Lufthansa,2022-02-11,TLV,VIE,MUC,17:05,22:35,6h 30m,1 stop,822
SWISS,2022-02-11,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,904
SWISS,2022-02-11,TLV,VIE,ZRH,7:35,16:25,9h 50m,1 stop,904
Lufthansa,2022-02-11,TLV,VIE,FRA,16:25,22:40,7h 15m,1 stop,952
Lufthansa,2022-02-11,TLV,VIE,FRA,5:20,13:10,8h 50m,1 stop,952
Lufthansa,2022-02-11,TLV,VIE,FRA,5:20,14:15,9h 55m,1 stop,952
LOT,2022-02-11,TLV,VIE,WAW,5:20,11:40,7h 20m,1 stop,"1,054"
Lufthansa,2022-02-11,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,483"
Lufthansa,2022-02-11,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,"1,495"
Lufthansa,2022-02-11,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,497"
Lufthansa,2022-02-11,TLV,SZG,"MUC, FRA",7:00,13:55,7h 55m,2 stops,"1,545"
LOT,2022-02-11,TLV,INN,"WAW, VIE",5:20,13:55,9h 35m,2 stops,"6,325"
Wizz Air,2022-02-11,TLV,VIE,,11:20,14:15,3h 55m,nonstop,124
Wizz Air,2022-02-11,TLV,VIE,,11:20,14:15,3h 55m,nonstop,115
Ryanair,2022-02-11,TLV,VIE,,11:20,14:10,3h 50m,nonstop,123
Wizz Air,2022-02-11,TLV,VIE,,11:20,14:15,3h 55m,nonstop,148
Ryanair,2022-02-11,TLV,VIE,,11:20,14:10,3h 50m,nonstop,154
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,8:20,14:00,6h 40m,1 stop,282
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,282
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,282
easyJet,2022-02-11,TLV,VIE,BER,13:10,20:05,7h 55m,1 stop,413
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,8:20,14:00,6h 40m,1 stop,433
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,433
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,433
Ryanair,2022-02-11,TLV,VIE,FCO,11:45,17:25,6h 40m,1 stop,440
KLM,2022-02-11,TLV,INN,AMS,5:15,13:00,8h 45m,1 stop,451
Air France,2022-02-11,TLV,VIE,CDG,15:55,22:55,8h 00m,1 stop,454
Turkish Airlines,2022-02-11,TLV,VIE,IST,10:20,18:45,9h 25m,1 stop,567
AnadoluJet,2022-02-11,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,621
Lufthansa,2022-02-11,TLV,VIE,MUC,17:05,22:35,6h 30m,1 stop,822
SWISS,2022-02-11,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,904
SWISS,2022-02-11,TLV,VIE,ZRH,7:35,16:25,9h 50m,1 stop,904
Lufthansa,2022-02-11,TLV,VIE,FRA,16:25,22:40,7h 15m,1 stop,952
Lufthansa,2022-02-11,TLV,VIE,FRA,5:20,13:10,8h 50m,1 stop,952
Lufthansa,2022-02-11,TLV,VIE,FRA,5:20,14:15,9h 55m,1 stop,952
LOT,2022-02-11,TLV,VIE,WAW,5:20,11:40,7h 20m,1 stop,"1,054"
Lufthansa,2022-02-11,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,483"
Lufthansa,2022-02-11,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,"1,495"
Lufthansa,2022-02-11,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,497"
Lufthansa,2022-02-11,TLV,SZG,"MUC, FRA",7:00,13:55,7h 55m,2 stops,"1,545"
LOT,2022-02-11,TLV,INN,"WAW, VIE",5:20,13:55,9h 35m,2 stops,"6,325"
Ryanair,2022-02-11,TLV,VIE,,11:20,14:10,3h 50m,nonstop,123
Ryanair,2022-02-11,TLV,VIE,,11:20,14:10,3h 50m,nonstop,154
Wizz Air,2022-02-11,TLV,VIE,,11:20,14:15,3h 55m,nonstop,115
Wizz Air,2022-02-11,TLV,VIE,,11:20,14:15,3h 55m,nonstop,148
Lufthansa,2022-02-11,TLV,VIE,MUC,17:05,22:35,6h 30m,1 stop,822
Lufthansa,2022-02-11,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,"1,495"
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,8:20,14:00,6h 40m,1 stop,282
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,8:20,14:00,6h 40m,1 stop,433
Ryanair,2022-02-11,TLV,VIE,FCO,11:45,17:25,6h 40m,1 stop,440
Lufthansa,2022-02-11,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,497"
Lufthansa,2022-02-11,TLV,VIE,FRA,16:25,22:40,7h 15m,1 stop,952
LOT,2022-02-11,TLV,VIE,WAW,5:20,11:40,7h 20m,1 stop,"1,054"
SWISS,2022-02-11,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,904
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,282
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,433
AnadoluJet,2022-02-11,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,621
easyJet,2022-02-11,TLV,VIE,BER,13:10,20:05,7h 55m,1 stop,413
Lufthansa,2022-02-11,TLV,SZG,"MUC, FRA",7:00,13:55,7h 55m,2 stops,"1,545"
Air France,2022-02-11,TLV,VIE,CDG,15:55,22:55,8h 00m,1 stop,454
KLM,2022-02-11,TLV,INN,AMS,5:15,13:00,8h 45m,1 stop,451
Lufthansa,2022-02-11,TLV,VIE,FRA,5:20,13:10,8h 50m,1 stop,952
Turkish Airlines,2022-02-11,TLV,VIE,IST,10:20,18:45,9h 25m,1 stop,567
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,282
Pegasus Airlines,2022-02-11,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,433
Lufthansa,2022-02-11,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,483"
LOT,2022-02-11,TLV,INN,"WAW, VIE",5:20,13:55,9h 35m,2 stops,"6,325"
SWISS,2022-02-11,TLV,VIE,ZRH,7:35,16:25,9h 50m,1 stop,904
Lufthansa,2022-02-11,TLV,VIE,FRA,5:20,14:15,9h 55m,1 stop,952
Ryanair,2022-02-12,TLV,VIE,,11:20,14:10,3h 50m,nonstop,102
Ryanair,2022-02-12,TLV,VIE,,11:20,14:10,3h 50m,nonstop,90
Ryanair,2022-02-12,TLV,VIE,,11:20,14:10,3h 50m,nonstop,119
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,330
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,7:00,14:00,8h 00m,1 stop,330
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,330
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,462
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,7:00,14:00,8h 00m,1 stop,462
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,462
Arkia,2022-02-12,TLV,SZG,,9:05,12:10,4h 05m,nonstop,483
AnadoluJet,2022-02-12,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,608
Austrian Airlines,2022-02-12,TLV,VIE,,6:15,9:00,3h 45m,nonstop,675
Turkish Airlines,2022-02-12,TLV,VIE,IST,9:50,18:45,9h 55m,1 stop,640
SWISS,2022-02-12,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,887
Lufthansa,2022-02-12,TLV,VIE,FRA,16:25,22:40,7h 15m,1 stop,945
Lufthansa,2022-02-12,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,206"
Finnair,2022-02-12,TLV,SZG,HEL,1:10,9:15,9h 05m,1 stop,"1,386"
Lufthansa,2022-02-12,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,"1,400"
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,10:30,5h 15m,1 stop,"1,439"
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,13:35,8h 20m,1 stop,"1,439"
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,13:55,8h 40m,1 stop,"1,439"
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,14:05,8h 50m,1 stop,"1,439"
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,14:30,9h 15m,1 stop,"1,439"
Austrian Airlines,2022-02-12,TLV,SZG,VIE,6:15,14:52,9h 37m,1 stop,"1,448"
Lufthansa,2022-02-12,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,594"
Lufthansa,2022-02-12,TLV,SZG,"MUC, FRA",7:00,13:55,7h 55m,2 stops,"1,653"
Austrian Airlines,2022-02-12,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"3,315"
Austrian Airlines,2022-02-12,TLV,VIE,,6:15,9:00,3h 45m,nonstop,675
Ryanair,2022-02-12,TLV,VIE,,11:20,14:10,3h 50m,nonstop,90
Ryanair,2022-02-12,TLV,VIE,,11:20,14:10,3h 50m,nonstop,119
Arkia,2022-02-12,TLV,SZG,,9:05,12:10,4h 05m,nonstop,483
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,10:30,5h 15m,1 stop,"1,439"
Lufthansa,2022-02-12,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,"1,400"
Lufthansa,2022-02-12,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,206"
Lufthansa,2022-02-12,TLV,VIE,FRA,16:25,22:40,7h 15m,1 stop,945
SWISS,2022-02-12,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,887
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,330
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,462
AnadoluJet,2022-02-12,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,608
Lufthansa,2022-02-12,TLV,SZG,"MUC, FRA",7:00,13:55,7h 55m,2 stops,"1,653"
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,7:00,14:00,8h 00m,1 stop,330
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,7:00,14:00,8h 00m,1 stop,462
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,13:35,8h 20m,1 stop,"1,439"
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,13:55,8h 40m,1 stop,"1,439"
Austrian Airlines,2022-02-12,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"3,315"
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,14:05,8h 50m,1 stop,"1,439"
Finnair,2022-02-12,TLV,SZG,HEL,1:10,9:15,9h 05m,1 stop,"1,386"
Austrian Airlines,2022-02-12,TLV,INN,VIE,6:15,14:30,9h 15m,1 stop,"1,439"
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,330
Pegasus Airlines,2022-02-12,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,462
Lufthansa,2022-02-12,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,594"
Austrian Airlines,2022-02-12,TLV,SZG,VIE,6:15,14:52,9h 37m,1 stop,"1,448"
Turkish Airlines,2022-02-12,TLV,VIE,IST,9:50,18:45,9h 55m,1 stop,640
Wizz Air,2022-03-06,TLV,VIE,,11:20,14:15,3h 55m,nonstop,61
EL AL,2022-03-06,TLV,VIE,,16:15,19:05,3h 50m,nonstop,280
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,282
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,407
AnadoluJet,2022-03-06,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,621
Turkish Airlines,2022-03-06,TLV,VIE,IST,1:00,9:10,9h 10m,1 stop,640
Turkish Airlines,2022-03-06,TLV,VIE,IST,10:20,18:45,9h 25m,1 stop,700
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,756
Turkish Airlines,2022-03-06,TLV,SZG,IST,10:20,18:45,9h 25m,1 stop,844
Austrian Airlines,2022-03-06,TLV,VIE,,6:15,9:00,3h 45m,nonstop,907
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,937
SWISS,2022-03-06,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,962
SWISS,2022-03-06,TLV,VIE,ZRH,7:35,16:25,9h 50m,1 stop,962
Lufthansa,2022-03-06,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,"1,002"
Lufthansa,2022-03-06,TLV,VIE,MUC,17:05,22:35,6h 30m,1 stop,"1,002"
Air France,2022-03-06,TLV,VIE,CDG,15:55,22:55,8h 00m,1 stop,"1,028"
Lufthansa,2022-03-06,TLV,VIE,"MUC, FRA",7:00,14:15,8h 15m,2 stops,"1,075"
S7 Airlines,2022-03-06,TLV,VIE,DME,6:00,13:20,8h 20m,1 stop,"1,235"
Austrian Airlines,2022-03-06,TLV,SZG,VIE,6:15,13:52,8h 37m,1 stop,"1,450"
Austrian Airlines,2022-03-06,TLV,INN,VIE,6:15,13:55,8h 40m,1 stop,"1,519"
Lufthansa,2022-03-06,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,573"
Lufthansa,2022-03-06,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,573"
Austrian Airlines,2022-03-06,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"1,591"
Lufthansa,2022-03-06,TLV,SZG,"MUC, FRA",7:00,13:55,7h 55m,2 stops,"1,632"
Turkish Airlines,2022-03-06,TLV,SZG,"IST, FRA",1:00,10:00,10h 00m,2 stops,"5,348"
EL AL,2022-03-06,TLV,SZG,"MUC, FRA",6:00,13:55,8h 55m,2 stops,"5,399"
EL AL,2022-03-06,TLV,SZG,"MUC, FRA",6:00,13:55,8h 55m,2 stops,"5,399"
Austrian Airlines,2022-03-06,TLV,VIE,,6:15,9:00,3h 45m,nonstop,834
SWISS,2022-03-06,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,887
SWISS,2022-03-06,TLV,VIE,ZRH,7:35,16:25,9h 50m,1 stop,887
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,895
Turkish Airlines,2022-03-06,TLV,SZG,IST,10:20,18:45,9h 25m,1 stop,910
Lufthansa,2022-03-06,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,919
Lufthansa,2022-03-06,TLV,VIE,MUC,17:05,22:35,6h 30m,1 stop,919
Transavia,2022-03-06,TLV,SZG,AMS,13:05,20:55,8h 50m,1 stop,944
Air France,2022-03-06,TLV,VIE,CDG,15:55,22:55,8h 00m,1 stop,951
Lufthansa,2022-03-06,TLV,VIE,"MUC, FRA",7:00,14:15,8h 15m,2 stops,997
S7 Airlines,2022-03-06,TLV,VIE,DME,6:00,13:20,8h 20m,1 stop,"1,188"
Austrian Airlines,2022-03-06,TLV,INN,VIE,6:15,13:55,8h 40m,1 stop,"1,444"
Austrian Airlines,2022-03-06,TLV,SZG,VIE,6:15,13:52,8h 37m,1 stop,"1,448"
Lufthansa,2022-03-06,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,486"
Lufthansa,2022-03-06,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,486"
Wizz Air,2022-03-06,TLV,VIE,,11:20,14:15,3h 55m,nonstop,36
Ryanair,2022-03-06,TLV,VIE,,11:00,13:50,3h 50m,nonstop,61
Wizz Air,2022-03-06,TLV,VIE,,11:20,14:15,3h 55m,nonstop,61
Ryanair,2022-03-06,TLV,VIE,,11:00,13:50,3h 50m,nonstop,82
Ryanair,2022-03-06,TLV,VIE,PFO,9:00,13:25,5h 25m,1 stop,97
Wizz Air,2022-03-06,TLV,VIE,OTP,9:25,15:20,6h 55m,1 stop,104
EL AL,2022-03-06,TLV,VIE,,16:15,19:05,3h 50m,nonstop,268
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,276
easyJet,2022-03-06,TLV,VIE,BER,13:10,20:25,8h 15m,1 stop,311
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,392
easyJet,2022-03-06,TLV,VIE,BSL,13:20,20:05,7h 45m,1 stop,396
AnadoluJet,2022-03-06,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,621
Turkish Airlines,2022-03-06,TLV,VIE,IST,1:00,9:10,9h 10m,1 stop,640
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,756
Turkish Airlines,2022-03-06,TLV,VIE,IST,10:20,18:45,9h 25m,1 stop,821
Austrian Airlines,2022-03-06,TLV,VIE,,6:15,9:00,3h 45m,nonstop,834
SWISS,2022-03-06,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,887
SWISS,2022-03-06,TLV,VIE,ZRH,7:35,16:25,9h 50m,1 stop,887
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,895
Turkish Airlines,2022-03-06,TLV,SZG,IST,10:20,18:45,9h 25m,1 stop,910
Lufthansa,2022-03-06,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,919
Lufthansa,2022-03-06,TLV,VIE,MUC,17:05,22:35,6h 30m,1 stop,919
Transavia,2022-03-06,TLV,SZG,AMS,13:05,20:55,8h 50m,1 stop,944
Air France,2022-03-06,TLV,VIE,CDG,15:55,22:55,8h 00m,1 stop,951
Lufthansa,2022-03-06,TLV,VIE,"MUC, FRA",7:00,14:15,8h 15m,2 stops,997
S7 Airlines,2022-03-06,TLV,VIE,DME,6:00,13:20,8h 20m,1 stop,"1,188"
Austrian Airlines,2022-03-06,TLV,INN,VIE,6:15,13:55,8h 40m,1 stop,"1,444"
Austrian Airlines,2022-03-06,TLV,SZG,VIE,6:15,13:52,8h 37m,1 stop,"1,448"
Lufthansa,2022-03-06,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,486"
Lufthansa,2022-03-06,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,486"
Lufthansa,2022-03-06,TLV,SZG,"MUC, FRA",7:00,13:55,7h 55m,2 stops,"1,539"
Austrian Airlines,2022-03-06,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"1,591"
Turkish Airlines,2022-03-06,TLV,SZG,"IST, FRA",1:00,10:00,10h 00m,2 stops,"5,348"
EL AL,2022-03-06,TLV,SZG,"MUC, FRA",6:00,13:55,8h 55m,2 stops,"5,399"
EL AL,2022-03-06,TLV,SZG,"MUC, FRA",6:00,13:55,8h 55m,2 stops,"5,399"
Austrian Airlines,2022-03-06,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"5,698"
Austrian Airlines,2022-03-06,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"5,698"
Austrian Airlines,2022-03-06,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"5,698"
Austrian Airlines,2022-03-06,TLV,VIE,,6:15,9:00,3h 45m,nonstop,834
Ryanair,2022-03-06,TLV,VIE,,11:00,13:50,3h 50m,nonstop,61
Ryanair,2022-03-06,TLV,VIE,,11:00,13:50,3h 50m,nonstop,82
EL AL,2022-03-06,TLV,VIE,,16:15,19:05,3h 50m,nonstop,268
Wizz Air,2022-03-06,TLV,VIE,,11:20,14:15,3h 55m,nonstop,36
Wizz Air,2022-03-06,TLV,VIE,,11:20,14:15,3h 55m,nonstop,61
Ryanair,2022-03-06,TLV,VIE,PFO,9:00,13:25,5h 25m,1 stop,97
Lufthansa,2022-03-06,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,919
Lufthansa,2022-03-06,TLV,VIE,MUC,17:05,22:35,6h 30m,1 stop,919
Wizz Air,2022-03-06,TLV,VIE,OTP,9:25,15:20,6h 55m,1 stop,104
Lufthansa,2022-03-06,TLV,SZG,FRA,16:25,22:30,7h 05m,1 stop,"1,486"
SWISS,2022-03-06,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,887
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,276
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,392
AnadoluJet,2022-03-06,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,621
easyJet,2022-03-06,TLV,VIE,BSL,13:20,20:05,7h 45m,1 stop,396
Lufthansa,2022-03-06,TLV,SZG,"MUC, FRA",7:00,13:55,7h 55m,2 stops,"1,539"
Air France,2022-03-06,TLV,VIE,CDG,15:55,22:55,8h 00m,1 stop,951
easyJet,2022-03-06,TLV,VIE,BER,13:10,20:25,8h 15m,1 stop,311
Lufthansa,2022-03-06,TLV,VIE,"MUC, FRA",7:00,14:15,8h 15m,2 stops,997
S7 Airlines,2022-03-06,TLV,VIE,DME,6:00,13:20,8h 20m,1 stop,"1,188"
Austrian Airlines,2022-03-06,TLV,SZG,VIE,6:15,13:52,8h 37m,1 stop,"1,448"
Austrian Airlines,2022-03-06,TLV,INN,VIE,6:15,13:55,8h 40m,1 stop,"1,444"
Austrian Airlines,2022-03-06,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"1,591"
Austrian Airlines,2022-03-06,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"5,698"
Austrian Airlines,2022-03-06,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"5,698"
Austrian Airlines,2022-03-06,TLV,SZG,"VIE, FRA",6:15,13:55,8h 40m,2 stops,"5,698"
Transavia,2022-03-06,TLV,SZG,AMS,13:05,20:55,8h 50m,1 stop,944
EL AL,2022-03-06,TLV,SZG,"MUC, FRA",6:00,13:55,8h 55m,2 stops,"5,399"
EL AL,2022-03-06,TLV,SZG,"MUC, FRA",6:00,13:55,8h 55m,2 stops,"5,399"
Turkish Airlines,2022-03-06,TLV,VIE,IST,1:00,9:10,9h 10m,1 stop,640
Turkish Airlines,2022-03-06,TLV,VIE,IST,10:20,18:45,9h 25m,1 stop,821
Turkish Airlines,2022-03-06,TLV,SZG,IST,10:20,18:45,9h 25m,1 stop,910
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,756
Pegasus Airlines,2022-03-06,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,895
Lufthansa,2022-03-06,TLV,SZG,FRA,5:20,13:55,9h 35m,1 stop,"1,486"
SWISS,2022-03-06,TLV,VIE,ZRH,7:35,16:25,9h 50m,1 stop,887
Turkish Airlines,2022-03-06,TLV,SZG,"IST, FRA",1:00,10:00,10h 00m,2 stops,"5,348"
Wizz Air,2022-03-09,TLV,VIE,,11:20,14:15,3h 55m,nonstop,50
Pegasus Airlines,2022-03-09,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,250
Pegasus Airlines,2022-03-09,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,250
EL AL,2022-03-09,TLV,VIE,,16:15,19:05,3h 50m,nonstop,287
Pegasus Airlines,2022-03-09,TLV,VIE,SAW,7:20,14:00,7h 40m,1 stop,370
Pegasus Airlines,2022-03-09,TLV,VIE,SAW,5:30,14:00,9h 30m,1 stop,370
AnadoluJet,2022-03-09,TLV,VIE,SAW,6:10,12:50,7h 40m,1 stop,430
Turkish Airlines,2022-03-09,TLV,VIE,IST,1:00,9:10,9h 10m,1 stop,605
Turkish Airlines,2022-03-09,TLV,VIE,IST,10:20,18:45,9h 25m,1 stop,611
Turkish Airlines,2022-03-09,TLV,SZG,IST,1:00,8:25,8h 25m,1 stop,685
Austrian Airlines,2022-03-09,TLV,VIE,,6:15,9:00,3h 45m,nonstop,907
SWISS,2022-03-09,TLV,VIE,ZRH,7:35,14:00,7h 25m,1 stop,962
SWISS,2022-03-09,TLV,VIE,ZRH,7:35,16:25,9h 50m,1 stop,962
Lufthansa,2022-03-09,TLV,VIE,MUC,17:05,22:35,6h 30m,1 stop,"1,002"
Lufthansa,2022-03-09,TLV,VIE,MUC,7:00,12:30,6h 30m,1 stop,"1,002"
Lufthansa,2022-03-09,TLV,VIE,FRA,8:00,14:15,7h 15m,1 stop,"1,023"
Lufthansa,2022-03-09,TLV,VIE,FRA,16:25,22:40,7h 15m,1 stop,"1,023"
Lufthansa,2022-03-09,TLV,VIE,FRA,5:20,13:10,8h 50m,1 stop,"1,023"
Lufthansa,2022-03-09,TLV,VIE,FRA,5:20,14:15,9h 55m,1 stop,"1,023"
Lufthansa,2022-03-09,TLV,VIE,"FRA, DUS",8:00,16:35,9h 35m,2 stops,"1,062"
Lufthansa,2022-03-09,TLV,VIE,"MUC, FRA",7:00,14:15,8h 15m,2 stops,"1,075"
